================================================================================
ARE_TrueAccept_CE_FalseReject - WORST Mode - Rejection Rate 0.40 - HEAD
================================================================================

Total cases: 196

Sample     True   CE Pred    ARE Pred   CE Decision  ARE Decision  CE MaxRew    ARE MaxRew   CE Thresh    ARE Thresh  
--------------------------------------------------------------------------------
93         21     21         21         reject       accept        3.1547       3.0401       3.1777       2.6256      
166        54     54         54         reject       accept        3.1242       3.0128       3.4732       2.8067      
202        68     68         68         reject       accept        3.0510       2.9621       3.1331       2.8153      
249        39     39         39         reject       accept        2.7080       2.7694       3.1248       2.6608      
259        42     42         42         reject       accept        4.1592       37.2918      6.6751       36.8794     
309        28     28         28         reject       accept        2.9418       2.9458       3.1330       2.5978      
365        10     10         10         reject       accept        3.0592       2.9580       3.1249       2.8818      
417        8      8          8          reject       accept        3.0838       2.9827       3.2174       2.6778      
532        8      8          8          reject       accept        3.1503       3.0378       3.5987       2.8939      
556        62     62         62         reject       accept        3.1455       35.0932      3.6350       35.0624     
717        15     15         15         reject       accept        3.0786       2.9770       3.1606       2.8418      
867        68     68         68         reject       accept        2.8735       2.9005       3.1276       2.5967      
890        36     36         36         reject       accept        2.9148       2.9365       3.1246       2.5931      
912        8      8          8          reject       accept        3.0189       2.9734       3.1247       2.6184      
922        37     37         37         reject       accept        3.1405       3.0206       3.1517       2.9970      
930        2      2          2          reject       accept        3.0729       2.9674       3.1245       2.8567      
942        62     62         62         reject       accept        3.0836       46.1207      3.9284       43.6056     
964        6      6          6          reject       accept        3.1011       3.0161       3.1247       2.6085      
982        43     43         43         reject       accept        3.1478       3.0376       3.1721       2.6284      
1065       36     36         36         reject       accept        3.1486       2.9768       3.1605       2.6543      
1080       7      7          7          reject       accept        3.1520       3.0288       3.1527       2.8881      
1109       49     49         49         reject       accept        3.0580       2.9852       3.1344       2.6102      
1158       52     52         52         reject       accept        2.7452       2.7809       3.1260       2.6222      
1161       33     33         33         reject       accept        14.1644      47.4653      15.1210      44.6491     
1218       48     48         48         reject       accept        3.1647       3.0421       3.1823       2.6394      
1296       17     17         17         reject       accept        3.0945       2.9961       3.2194       2.9305      
1306       33     33         33         reject       accept        2.6340       2.7710       3.1245       2.6069      
1355       68     68         68         reject       accept        3.1303       3.0287       3.1617       2.6232      
1404       48     48         48         reject       accept        2.5448       2.7627       3.1528       2.6268      
1459       28     28         28         reject       accept        2.8344       2.8832       3.1244       2.6087      
1485       53     53         53         reject       accept        3.0437       2.9885       3.1265       2.5994      
1568       58     58         58         reject       accept        2.6992       2.8314       3.1245       2.6430      
1621       21     21         21         reject       accept        2.7998       2.8785       3.1244       2.5936      
1627       41     41         41         reject       accept        3.0134       2.8535       3.1610       2.7568      
1639       17     17         17         reject       accept        2.5107       2.7496       3.1246       2.5936      
1695       33     33         33         reject       accept        2.9775       2.8559       3.1251       2.6196      
1716       30     30         30         reject       accept        3.1539       45.1950      3.5524       44.8227     
1789       20     20         20         reject       accept        2.9590       2.9469       3.3304       2.8409      
1799       34     34         34         reject       accept        3.1079       3.0081       3.1268       2.5957      
1829       48     48         48         reject       accept        3.0853       2.7814       3.1256       2.7582      
1830       52     52         52         reject       accept        2.9492       2.8491       3.2002       2.8208      
1845       28     28         28         reject       accept        3.0267       2.6696       3.1244       2.6223      
1849       31     31         31         reject       accept        3.1021       2.9843       3.1245       2.6289      
1859       53     53         53         reject       accept        2.7779       2.8590       3.1246       2.6147      
1878       53     53         53         reject       accept        3.1149       3.0161       3.1252       2.6370      
1879       68     68         68         reject       accept        3.1635       2.9399       3.2115       2.7087      
1911       60     60         60         reject       accept        3.1333       3.0229       3.2229       2.7365      
1922       56     56         56         reject       accept        11.4090      31.6206      12.8108      31.3531     
2030       30     30         30         reject       accept        6.1528       49.4426      9.4020       47.7055     
2058       53     53         53         reject       accept        3.1666       3.0435       3.1670       2.7243      
2061       57     57         57         reject       accept        2.8579       2.8611       3.1276       2.6330      
2163       24     24         24         reject       accept        3.1140       3.0201       3.1363       2.6470      
2236       68     68         68         reject       accept        2.6095       2.7919       3.1601       2.6156      
2255       57     57         57         reject       accept        3.0254       2.9093       3.1246       2.5989      
2313       54     54         54         reject       accept        3.1182       3.0154       3.1644       2.9081      
2320       12     12         12         reject       accept        3.0453       2.9904       3.1846       2.6300      
2353       30     30         30         reject       accept        3.1662       3.0124       3.1672       2.9279      
2441       37     37         37         reject       accept        2.9038       2.9291       3.4815       2.7853      
2495       37     37         37         reject       accept        3.1119       3.0066       3.1281       2.5972      
2581       5      5          5          reject       accept        2.8208       2.8878       3.1287       2.6787      
2617       31     31         31         reject       accept        3.1160       3.0216       3.1244       2.5951      
2672       52     52         52         reject       accept        2.9245       2.7679       3.1315       2.6171      
2691       28     28         28         reject       accept        2.9958       2.9558       3.1643       2.8943      
2763       26     26         26         reject       accept        3.0909       2.9990       3.1261       2.8948      
2770       59     59         59         reject       accept        3.0874       2.9968       3.1249       2.6698      
2800       47     47         47         reject       accept        3.1222       30.7259      4.3616       29.7826     
2902       1      1          1          reject       accept        3.1608       3.0290       3.1832       3.0079      
2977       47     47         47         reject       accept        3.1419       25.7258      3.4859       25.3449     
3108       37     37         37         reject       accept        3.1476       3.0331       3.2406       2.6902      
3140       18     18         18         reject       accept        2.8219       2.8944       3.1641       2.6416      
3257       36     36         36         reject       accept        2.7041       2.8392       3.1737       2.6185      
3319       15     15         15         reject       accept        2.9067       2.9086       3.1244       2.6340      
3335       18     18         18         reject       accept        2.6096       2.7942       3.1250       2.5936      
3384       6      6          6          reject       accept        3.0778       2.9960       3.1326       2.7181      
3482       52     52         52         reject       accept        3.0556       2.8637       3.1258       2.6363      
3522       18     18         18         reject       accept        2.8352       2.8983       3.1342       2.6127      
3525       48     48         48         reject       accept        3.0226       2.9078       3.1245       2.6898      
3548       9      9          9          reject       accept        3.1155       3.0151       3.3041       2.8391      
3592       53     53         53         reject       accept        3.1660       3.0449       3.1855       2.6782      
3606       48     48         48         reject       accept        3.0540       2.9525       3.1245       2.5951      
3660       66     66         66         reject       accept        13.9196      41.2171      14.9304      39.6344     
3764       56     56         56         reject       accept        3.0607       2.9971       3.1443       2.6065      
3777       63     63         63         reject       accept        3.1612       3.0324       3.1659       2.8105      
3852       4      4          4          reject       accept        3.1650       3.0202       3.1732       2.7167      
3855       39     39         39         reject       accept        2.8579       2.9044       3.1358       2.6148      
4124       49     49         49         reject       accept        2.4952       33.8146      3.2391       32.7912     
4125       20     20         20         reject       accept        3.1549       3.0344       3.1572       2.7647      
4231       17     17         17         reject       accept        3.1623       3.0262       3.2384       2.7170      
4233       54     54         54         reject       accept        3.1580       3.0427       3.3756       2.7296      
4370       59     59         59         reject       accept        3.0653       2.8634       3.1245       2.5994      
4426       13     13         13         reject       accept        3.1512       29.7255      3.6179       29.3695     
4451       4      4          4          reject       accept        4.4902       47.8946      6.9269       45.0046     
4521       37     37         37         reject       accept        3.1334       2.9597       3.1489       2.7239      
4528       40     40         40         reject       accept        2.9296       2.9332       3.1326       2.5984      
4547       56     56         56         reject       accept        3.0565       2.9735       3.1251       2.7244      
4572       53     53         53         reject       accept        2.8869       2.8536       3.1244       2.6675      
4588       58     58         58         reject       accept        3.0174       2.9423       3.1254       2.6391      
4615       49     49         49         reject       accept        2.9388       2.8430       3.1493       2.6441      
4617       52     52         52         reject       accept        2.7285       2.8490       3.1373       2.6005      
4711       43     43         43         reject       accept        3.1302       3.0022       3.1319       2.9922      
4753       32     32         32         reject       accept        3.1496       3.0300       3.2705       2.8256      
4765       8      8          8          reject       accept        2.7927       2.8584       3.1262       2.7317      
4781       24     24         24         reject       accept        3.0955       3.0025       3.1723       2.7690      
4845       61     61         61         reject       accept        3.1877       48.3701      5.8763       45.8447     
4896       53     53         53         reject       accept        2.4416       2.7081       3.1249       2.6556      
4959       40     40         40         reject       accept        3.1508       3.0373       3.3506       2.7468      
4988       61     61         61         reject       accept        3.0487       2.9499       3.1248       2.6031      
5000       56     56         56         reject       accept        3.1281       3.0038       3.1349       2.6720      
5046       35     35         35         reject       accept        13.2719      44.5185      14.3627      41.9928     
5122       59     59         59         reject       accept        3.0287       2.8082       3.1406       2.7583      
5162       48     48         48         reject       accept        3.1197       3.0196       3.1244       2.5929      
5319       22     22         22         reject       accept        3.1223       3.0201       3.2652       2.6884      
5358       56     56         56         reject       accept        3.0558       2.9914       3.3039       2.7312      
5410       52     52         52         reject       accept        2.9448       2.9383       3.1622       2.6899      
5525       31     31         31         reject       accept        2.8727       2.9112       3.1244       2.5928      
5678       56     56         56         reject       accept        3.0061       2.9461       3.2297       2.8328      
5697       36     36         36         reject       accept        3.1047       2.7863       3.1352       2.6316      
5714       32     32         32         reject       accept        3.0905       2.9356       3.3094       2.8296      
5762       15     15         15         reject       accept        3.1015       2.9914       3.1281       2.7328      
5779       43     43         43         reject       accept        3.1039       2.7953       3.1244       2.6379      
5796       59     59         59         reject       accept        3.0354       2.9773       3.1244       2.5975      
5928       65     65         65         reject       accept        3.1018       36.2375      3.1749       34.7571     
5989       12     12         12         reject       accept        3.1560       3.0413       3.1634       2.6301      
5993       9      9          9          reject       accept        3.1593       3.0432       3.3590       2.7234      
6176       13     13         13         reject       accept        3.0946       50.0371      4.4570       47.1685     
6179       49     49         49         reject       accept        3.1142       3.0029       3.1246       2.6057      
6267       22     22         22         reject       accept        3.0112       2.9308       3.1253       2.7456      
6271       56     56         56         reject       accept        3.0214       2.9546       3.1290       2.7519      
6371       67     67         67         reject       accept        2.9703       2.9141       3.1274       2.7348      
6382       48     48         48         reject       accept        2.6875       2.8206       3.1246       2.5963      
6569       49     49         49         reject       accept        2.9366       2.9025       3.1390       2.6936      
6671       28     28         28         reject       accept        2.6961       2.8390       3.1837       2.6534      
6753       44     44         44         reject       accept        3.0939       2.9842       3.1420       2.8759      
6756       30     30         30         reject       accept        3.0857       46.0809      5.6126       45.2426     
6757       4      4          4          reject       accept        3.0885       3.0101       3.4290       2.7641      
6849       19     19         19         reject       accept        3.1130       3.0079       3.1245       2.5963      
6876       54     54         54         reject       accept        3.1553       3.0375       3.3772       2.8091      
6945       33     33         33         reject       accept        11.6263      54.0210      12.9802      50.3650     
6950       56     56         56         reject       accept        3.1259       3.0254       3.1576       2.6806      
6957       60     60         60         reject       accept        4.8157       34.8043      7.2017       33.5581     
7160       48     48         48         reject       accept        3.1207       2.9978       3.1244       2.7734      
7213       7      7          7          reject       accept        2.9761       2.9459       3.1244       2.5941      
7224       22     22         22         reject       accept        3.1432       3.0157       3.1466       2.7118      
7325       21     21         21         reject       accept        3.0866       3.0077       3.1263       2.6030      
7340       6      6          6          reject       accept        3.0295       2.9810       3.1252       2.6012      
7428       10     10         10         reject       accept        3.1180       3.0095       3.1271       2.7075      
7532       23     23         23         reject       accept        3.0923       36.1718      4.9769       35.0287     
7668       68     68         68         reject       accept        3.0665       2.9741       3.1686       2.6473      
7758       7      7          7          reject       accept        3.0962       2.9693       3.1536       2.8724      
7824       60     60         60         reject       accept        16.7819      37.7726      17.3332      36.0658     
7862       8      8          8          reject       accept        3.0526       2.9678       3.1399       2.7399      
7933       22     22         22         reject       accept        3.1167       48.1079      3.6679       47.5668     
7958       4      4          4          reject       accept        3.1502       3.0265       3.1957       2.6761      
7960       45     45         45         reject       accept        2.9273       2.9314       3.1428       2.6417      
7992       17     17         17         reject       accept        2.4989       2.7398       3.1245       2.6013      
8011       1      1          1          reject       accept        2.9929       2.9626       3.3130       2.8158      
8018       56     56         56         reject       accept        3.1217       2.9269       3.1425       2.8753      
8061       53     53         53         reject       accept        3.1171       2.9640       3.3945       2.9181      
8138       35     35         35         reject       accept        3.1107       26.8656      3.2199       26.4746     
8163       60     60         60         reject       accept        3.1658       3.0402       3.1905       2.7762      
8350       68     68         68         reject       accept        3.1581       3.0134       3.1708       2.8549      
8352       1      1          1          reject       accept        3.1259       3.0279       3.1273       2.5950      
8371       41     41         41         reject       accept        3.1646       3.0378       3.1666       2.8788      
8417       41     41         41         reject       accept        3.1384       3.0327       3.1562       2.6240      
8545       43     43         43         reject       accept        3.0163       2.9749       3.1255       2.6528      
8561       54     54         54         reject       accept        2.9696       2.9534       3.2423       2.7218      
8618       34     34         34         reject       accept        3.1243       3.0182       3.1245       2.6621      
8681       31     31         31         reject       accept        3.0198       2.7490       3.1244       2.5996      
8695       42     42         42         reject       accept        17.4329      44.6284      17.9335      43.8119     
8705       61     61         61         reject       accept        13.5538      55.0278      14.6491      51.2700     
8840       24     24         24         reject       accept        2.9396       2.8963       3.1254       2.6355      
8939       57     57         57         reject       accept        3.1200       3.0203       3.4220       2.8015      
9097       0      0          0          reject       accept        3.1525       50.6997      3.5953       47.5890     
9113       19     19         19         reject       accept        2.9144       2.9245       3.1245       2.7819      
9226       2      2          2          reject       accept        2.5647       2.7214       3.1244       2.6373      
9233       30     30         30         reject       accept        3.1093       3.0201       3.1302       2.6062      
9234       27     27         27         reject       accept        3.1129       3.0194       3.1244       2.6316      
9276       48     48         48         reject       accept        3.1384       3.0244       3.1541       2.8794      
9337       2      2          2          reject       accept        2.8385       2.8826       3.1305       2.7927      
9363       29     29         29         reject       accept        3.0978       3.0137       3.1280       2.6121      
9412       15     15         15         reject       accept        2.9417       2.8935       3.1431       2.8506      
9483       27     27         27         reject       accept        3.0139       2.9769       3.1318       2.6241      
9492       10     10         10         reject       accept        3.1297       3.0241       3.1316       2.6302      
9497       24     24         24         reject       accept        3.1120       2.9701       3.1262       2.8193      
9546       13     13         13         reject       accept        2.6965       2.8369       3.3419       2.7470      
9575       42     42         42         reject       accept        3.1123       3.0214       3.3148       2.7019      
9599       68     68         68         reject       accept        2.8187       2.8702       3.1372       2.6160      
