================================================================================
ARE_TrueReject_CE_FalseAccept - WORST Mode - Rejection Rate 0.40 - HEAD
================================================================================

Total cases: 321

Sample     True   CE Pred    ARE Pred   CE Decision  ARE Decision  CE MaxRew    ARE MaxRew   CE Thresh    ARE Thresh  
--------------------------------------------------------------------------------
36         58     26         26         accept       reject        3.1527       2.1746       3.1244       5.1455      
47         58     13         13         accept       reject        3.1559       2.6858       3.1287       5.7036      
74         32     76         76         accept       reject        112.2194     89.0832      98.1583      93.4233     
84         29     1          1          accept       reject        3.1505       2.7444       3.1342       14.8191     
87         33     3          3          accept       reject        26.3073      20.1841      26.1563      40.9764     
156        58     13         13         accept       reject        3.1666       2.6567       3.1331       4.7031      
310        19     3          3          accept       reject        3.1330       5.7429       3.1268       11.7181     
314        43     3          3          accept       reject        3.1441       2.5981       3.1265       6.9078      
315        31     15         15         accept       reject        3.1673       3.4835       3.1254       6.5466      
336        45     73         73         accept       reject        113.0271     93.5896      98.8316      93.8718     
360        64     4          4          accept       reject        3.1653       1.9350       3.1259       4.0401      
379        11     79         79         accept       reject        52.4967      57.2171      49.7109      66.6379     
448        55     4          4          accept       reject        3.1454       3.0067       3.1416       8.8871      
463        2      11         11         accept       reject        3.1513       2.5641       3.1263       4.6722      
472        14     65         65         accept       reject        38.0148      24.4546      35.7977      38.1903     
488        67     32         73         accept       reject        36.4285      54.0985      34.1956      66.1301     
525        46     11         11         accept       reject        3.1610       2.1870       3.1246       3.7006      
572        1      10         10         accept       reject        3.1555       4.9881       3.1254       19.0059     
636        61     22         22         accept       reject        3.1417       2.2360       3.1245       6.0955      
673        6      4          4          accept       reject        3.1664       2.9502       3.1245       4.0621      
688        37     49         49         accept       reject        3.1672       4.4229       3.1340       10.2460     
781        64     3          3          accept       reject        3.1680       2.3451       3.1244       4.9479      
792        55     3          3          accept       reject        3.1669       2.6785       3.1253       3.9505      
803        58     89         89         accept       reject        81.7001      73.1983      72.3989      75.1783     
829        25     5          5          accept       reject        3.1440       2.8526       3.1293       5.6436      
839        39     5          5          accept       reject        3.1580       2.2694       3.1310       5.6650      
899        55     51         51         accept       reject        3.1603       14.8583      3.1351       29.7898     
914        59     52         52         accept       reject        3.1672       2.7970       3.1244       3.2211      
929        52     4          4          accept       reject        3.1677       5.1985       3.1247       8.2464      
974        36     69         69         accept       reject        76.5391      51.9920      68.0681      57.1810     
1022       36     4          4          accept       reject        3.1679       2.9502       3.1246       3.1567      
1071       55     4          4          accept       reject        3.1653       2.8869       3.1245       3.8555      
1084       42     4          4          accept       reject        3.1675       2.0651       3.1301       4.5211      
1135       9      69         69         accept       reject        44.8396      36.9384      41.4998      49.6234     
1155       58     13         13         accept       reject        3.1664       1.8422       3.1249       2.6483      
1202       55     3          3          accept       reject        3.1677       2.9893       3.1248       3.3099      
1204       57     2          2          accept       reject        3.1618       1.8465       3.1244       4.4889      
1239       41     2          2          accept       reject        3.1539       15.4877      3.1265       24.7514     
1294       35     11         11         accept       reject        3.1569       2.5409       3.1245       3.5811      
1309       18     79         6          accept       reject        53.9629      34.7970      49.2247      35.4227     
1315       46     11         11         accept       reject        3.1659       5.0336       3.1276       7.0445      
1346       59     3          3          accept       reject        3.1451       2.3974       3.1254       9.7793      
1353       65     77         67         accept       reject        48.3865      26.2913      47.6070      42.3641     
1359       65     36         36         accept       reject        3.1428       2.0220       3.1404       4.7326      
1395       59     52         52         accept       reject        3.1529       2.6748       3.1245       2.7039      
1400       18     27         27         accept       reject        3.1677       1.9407       3.1245       3.1972      
1410       10     16         16         accept       reject        3.1320       1.7454       3.1297       3.0927      
1444       46     11         11         accept       reject        3.1676       1.8563       3.1244       3.1266      
1492       61     10         10         accept       reject        3.1408       2.0618       3.1277       6.2456      
1493       31     4          4          accept       reject        3.1677       2.4960       3.1244       7.5215      
